"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,1,0.693300147615648,4.21704654417071,2072,"SSP2 2050","January"
NA,1,-3.00506185476814,1.30382284501737,2022,"SSP2 2050","January"
NA,1,-3.27992459424269,1.5755982032301,2048,"SSP2 2050","January"
NA,1,-3.04868581183352,2.70814362191083,2015,"SSP2 2050","January"
NA,1,-1.0810727320239,6.3144479138019,2004,"SSP2 2050","January"
NA,1,3.23542322883604,10.6052955074304,2005,"SSP2 2050","January"
NA,1,4.92168844594201,11.6549586419374,2066,"SSP2 2050","January"
NA,1,6.82298328731057,12.4664544890358,2069,"SSP2 2050","January"
NA,1,6.2257984579148,11.2519167493749,2006,"SSP2 2050","January"
NA,1,4.94954856518029,9.25796028127238,2081,"SSP2 2050","January"
NA,2,2.02645549729331,6.19688038798303,2011,"SSP2 2050","February"
NA,2,-1.23631688537184,3.01725871430283,2062,"SSP2 2050","February"
NA,2,-2.94492038102195,2.59152144913508,2091,"SSP2 2050","February"
NA,2,-3.94070860944326,5.51990486016066,2068,"SSP2 2050","February"
NA,2,4.39987252338583,12.3027981994324,2076,"SSP2 2050","February"
NA,2,5.46558802074598,11.2121446625379,2040,"SSP2 2050","February"
NA,2,3.44875523423905,7.78711024555243,2042,"SSP2 2050","February"
NA,3,5.32061455232802,10.2614962570817,2051,"SSP2 2050","March"
NA,3,1.65104583900652,8.41995447379374,2091,"SSP2 2050","March"
NA,3,-0.524186791864095,8.09165365717372,2086,"SSP2 2050","March"
NA,3,-0.947809647293402,8.40139390631718,2042,"SSP2 2050","March"
